iter	Passed	Remaining
0	151	151327
1	152	76047
2	156	52059
3	157	39333
4	159	31693
5	160	26539
6	161	22840
7	161	20065
8	162	17901
9	163	16167
10	164	14749
11	164	13580
12	165	12580
13	166	11722
14	167	10981
15	170	10466
16	171	9895
17	171	9377
18	172	8912
19	173	8493
20	174	8116
21	174	7773
22	175	7458
23	176	7170
24	177	6904
25	177	6658
26	178	6431
27	179	6220
28	179	6024
29	180	5841
30	181	5669
31	184	5587
32	186	5456
33	187	5314
34	187	5178
35	188	5050
36	189	4928
37	190	4812
38	190	4702
39	191	4599
40	192	4499
41	193	4405
42	193	4315
43	194	4230
44	195	4148
45	196	4069
46	199	4052
47	200	3980
48	201	3910
49	202	3843
50	203	3778
51	203	3715
52	204	3654
53	205	3596
54	206	3540
55	206	3486
56	207	3433
57	208	3382
58	209	3334
59	209	3287
60	210	3241
61	211	3200
62	212	3166
63	213	3124
64	214	3084
65	215	3044
66	215	3005
67	216	2969
68	217	2933
69	218	2897
70	218	2864
71	219	2830
72	220	2798
73	221	2766
74	221	2736
75	222	2707
76	223	2677
77	224	2649
78	224	2622
79	227	2611
80	228	2596
81	229	2571
82	230	2541
83	230	2516
84	231	2492
85	232	2468
86	233	2445
87	233	2422
88	234	2400
89	235	2381
90	236	2365
91	238	2351
92	239	2331
93	239	2312
94	244	2325
95	245	2310
96	246	2293
97	247	2277
98	248	2259
99	249	2241
100	249	2223
101	250	2205
102	251	2188
103	252	2171
104	252	2154
105	253	2138
106	254	2122
107	255	2106
108	255	2090
109	259	2098
110	260	2084
111	260	2068
112	261	2054
113	262	2039
114	263	2025
115	263	2010
116	264	1995
117	265	1981
118	265	1968
119	266	1955
120	267	1942
121	267	1928
122	268	1915
123	269	1903
124	270	1890
125	270	1878
126	271	1867
127	274	1872
128	275	1862
129	276	1850
130	277	1839
131	278	1828
132	278	1817
133	279	1806
134	280	1795
135	281	1785
136	281	1774
137	282	1764
138	283	1754
139	284	1746
140	285	1739
141	285	1727
142	290	1739
143	291	1731
144	292	1722
145	292	1713
146	293	1703
147	294	1694
148	295	1685
149	295	1676
150	296	1667
151	297	1660
152	298	1651
153	299	1642
154	299	1634
155	300	1626
156	301	1618
157	303	1617
158	304	1610
159	305	1602
160	305	1592
161	306	1584
162	307	1576
163	307	1569
164	308	1561
165	309	1553
166	310	1546
167	310	1538
168	311	1532
169	312	1525
170	313	1518
171	313	1510
172	314	1503
173	315	1496
174	316	1489
175	316	1483
176	319	1486
177	320	1480
178	321	1473
179	321	1466
180	322	1460
181	323	1453
182	324	1446
183	324	1440
184	325	1434
185	326	1429
186	327	1423
187	328	1417
188	329	1411
189	329	1406
190	330	1400
191	331	1394
192	335	1401
193	336	1396
194	336	1390
195	337	1384
196	338	1378
197	338	1372
198	339	1367
199	340	1361
200	341	1356
201	342	1351
202	342	1345
203	343	1340
204	344	1335
205	345	1329
206	345	1324
207	346	1319
208	348	1317
209	349	1315
210	350	1311
211	351	1307
212	352	1303
213	353	1299
214	354	1294
215	355	1289
216	356	1284
217	356	1279
218	357	1274
219	358	1270
220	359	1265
221	359	1260
222	360	1256
223	361	1251
224	362	1247
225	365	1250
226	366	1246
227	366	1242
228	367	1237
229	368	1233
230	369	1229
231	370	1225
232	371	1221
233	371	1217
234	372	1212
235	373	1208
236	374	1204
237	374	1199
238	375	1195
239	376	1191
240	376	1187
241	380	1191
242	381	1189
243	383	1187
244	383	1183
245	384	1179
246	385	1175
247	386	1170
248	386	1166
249	387	1163
250	388	1159
251	389	1155
252	390	1151
253	390	1147
254	391	1144
255	392	1140
256	396	1145
257	398	1145
258	399	1143
259	401	1142
260	402	1140
261	403	1137
262	404	1134
263	405	1131
264	406	1128
265	415	1146
266	416	1144
267	417	1141
268	420	1141
269	421	1139
270	427	1149
271	428	1147
272	442	1178
273	447	1186
274	453	1195
275	460	1207
276	462	1207
277	463	1204
278	464	1200
279	465	1197
280	466	1194
281	468	1193
282	470	1191
283	472	1192
284	473	1189
285	475	1186
286	476	1183
287	479	1184
288	480	1181
289	481	1178
290	482	1175
291	483	1172
292	485	1170
293	492	1182
294	493	1179
295	494	1176
296	495	1173
297	496	1170
298	498	1167
299	499	1164
300	500	1161
301	501	1158
302	503	1158
303	505	1156
304	506	1153
305	507	1150
306	508	1147
307	511	1149
308	512	1146
309	513	1143
310	515	1141
311	516	1138
312	523	1148
313	524	1145
314	527	1146
315	528	1143
316	529	1139
317	530	1137
318	531	1135
319	540	1149
320	541	1145
321	542	1143
322	543	1139
323	545	1137
324	546	1134
325	547	1132
326	552	1137
327	554	1136
328	555	1133
329	556	1129
330	558	1128
331	559	1125
332	560	1122
333	561	1119
334	562	1116
335	565	1116
336	570	1121
337	571	1119
338	572	1116
339	573	1113
340	574	1110
341	575	1107
342	576	1105
343	581	1108
344	582	1106
345	584	1104
346	585	1101
347	586	1098
348	587	1095
349	587	1091
350	588	1088
351	589	1085
352	590	1082
353	591	1079
354	592	1076
355	597	1080
356	598	1078
357	599	1075
358	600	1072
359	601	1069
360	602	1066
361	603	1064
362	604	1061
363	605	1058
364	606	1055
365	607	1053
366	613	1057
367	614	1055
368	615	1052
369	616	1049
370	617	1047
371	619	1045
372	620	1042
373	621	1040
374	622	1037
375	623	1034
376	630	1042
377	631	1039
378	634	1039
379	637	1040
380	638	1038
381	646	1046
382	648	1045
383	650	1043
384	651	1040
385	652	1037
386	653	1035
387	654	1032
388	657	1032
389	661	1034
390	664	1034
